Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Credit1,Credit1 Amount,Credit1 Currency,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/compute-engine/ForwardingRuleCharge,950400,seconds,,,,0,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/compute-engine/ForwardingRuleCharge,1209600,seconds,,,,0,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,294838271347,com.google.cloud/services/compute-engine/ForwardingRuleCharge,86400,seconds,,,,0,USD,294838271347,concourse-1309,Concourse,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,670963266181,com.google.cloud/services/compute-engine/ForwardingRuleCharge,172800,seconds,,,,0,USD,670963266181,cf-matt-reider,CF-Matt-Reider,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,14652311178,com.google.cloud/services/compute-engine/ForwardingRuleCharge,432000,seconds,,,,0,USD,14652311178,pcf-iet-master,pcf-iet-master,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,815441650186,com.google.cloud/services/compute-engine/ForwardingRuleCharge,345600,seconds,,,,0,USD,815441650186,cf-release-integration-141222,CF-Release-Integration,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/compute-engine/ForwardingRuleCharge,432000,seconds,,,,0,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,419513113457,com.google.cloud/services/compute-engine/ForwardingRuleCharge,432000,seconds,,,,0,USD,419513113457,cf-release-engineering,CF-Release-Engineering,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleCharge,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,703455885639,com.google.cloud/services/compute-engine/ForwardingRuleCharge,518400,seconds,,,,0,USD,703455885639,fe-chjohnson,FE-chjohnson,,Network Load Balancing: Forwarding Rule Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1005877548675,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,1005877548675,cf-docs,CF-Docs,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,717183494354,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,717183494354,pcfongcp,PCFonGCP,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,516400491046,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86063,seconds,,,,0.597659,USD,516400491046,fe-vrussoiii,FE-vrussoiii,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,473311414883,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,473311414883,soy-beaker-140618,FE-emikuszewski,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,294838271347,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,294838271347,concourse-1309,Concourse,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,670963266181,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,670963266181,cf-matt-reider,CF-Matt-Reider,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,14652311178,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,14652311178,pcf-iet-master,pcf-iet-master,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,815441650186,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,815441650186,cf-release-integration-141222,CF-Release-Integration,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,419513113457,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,419513113457,cf-release-engineering,CF-Release-Engineering,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,703455885639,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase,86400,seconds,,,,0.6,USD,703455885639,fe-chjohnson,FE-chjohnson,,Network Load Balancing: Forwarding Rule Minimum Service Charge in Americas
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,86400,seconds,,,,0.6,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Load Balancing: Global Forwarding Rule Minimum Service Charge
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,549019880873,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,86400,seconds,,,,0.6,USD,549019880873,ops-manager-ci,Ops-Manager CI,,Network Load Balancing: Global Forwarding Rule Minimum Service Charge
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,789391918530,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,86400,seconds,,,,0.6,USD,789391918530,fe-gtantachuco,FE-gtantachuco,,Network Load Balancing: Global Forwarding Rule Minimum Service Charge
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,651440090719,com.google.cloud/services/compute-engine/ForwardingRuleChargeBase_Global,86400,seconds,,,,0.6,USD,651440090719,bosh-cpi,CF-BOSH CPI,,Network Load Balancing: Global Forwarding Rule Minimum Service Charge
0076DC-766E1F-EBDCB8,com.google.cloud/services/compute-engine/ForwardingRuleChargeExtra,2016-09-11T00:00:00-07:00,2016-09-12T00:00:00-07:00,1015639972876,com.google.cloud/services/compute-engine/ForwardingRuleChargeExtra,518400,seconds,,,,1.44,USD,1015639972876,stevenson-cf,stevenson-cf,,Network Load Balancing: Forwarding Rule Additional Service Charge in Americas
